,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,composite_performance_score
1417,1417,Lamar Odom,LAC,20.0,208.28,99.79024,Rhode Island,USA,1999,1,4,76,16.6,7.8,4.2,0.0,0.063,0.18,0.2339999999999999,0.521,0.1989999999999999,1999-00,1999,0.493178888428446
1419,1419,Lari Ketner,CLE,23.0,208.28,129.27372,Massachusetts,USA,1999,2,49,22,1.5,1.5,0.0,0.0,0.089,0.208,0.152,0.456,0.015,1999-00,1999,0.1681995228764809
1420,1420,Laron Profit,WAS,22.0,195.58,92.532768,Maryland,USA,1999,2,38,33,1.5,0.8,0.8,0.0,0.01,0.111,0.159,0.386,0.185,1999-00,1999,0.16649408915723501
1432,1432,Todd MacCulloch,PHI,24.0,213.36,127.00576,Washington,Canada,1999,2,47,56,3.7,2.6,0.2,0.0,0.099,0.201,0.168,0.557,0.04,1999-00,1999,0.22590057271601646
1436,1436,Tim Young,GSW,24.0,218.44,122.46984,Stanford,USA,1999,2,56,25,2.2,1.4,0.2,0.0,0.086,0.19,0.181,0.492,0.057,1999-00,1999,0.1938436850833232
1439,1439,Tim James,MIA,23.0,200.66,96.161504,Miami (FL),USA,1999,1,25,4,2.8,1.0,0.5,38.9,0.13,0.042,0.319,0.359,0.143,1999-00,1999,0.3410471452751341
1452,1452,Steve Francis,HOU,23.0,190.5,87.543256,Maryland,USA,1999,1,2,77,18.0,5.3,6.6,0.0,0.062,0.102,0.249,0.5429999999999999,0.315,1999-00,1999,0.5261595824314564
1460,1460,Jeff Foster,IND,23.0,210.82,107.954896,Texas State,USA,1999,1,21,19,2.3,1.7,0.3,0.0,0.15,0.247,0.1669999999999999,0.632,0.088,1999-00,1999,0.21669415609972395
1462,1462,William Avery,MIN,20.0,187.96,81.64656,Duke,USA,1999,1,14,59,2.6,0.7,1.5,0.0,0.017,0.081,0.22,0.391,0.289,1999-00,1999,0.21386977018111344
1468,1468,Wally Szczerbiak,MIN,23.0,200.66,110.222856,Miami (OH),USA,1999,1,6,73,11.6,3.7,2.8,5.0,0.048,0.1,0.171,0.5710000000000001,0.136,1999-00,1999,0.36641991083154163
1470,1470,Vonteego Cummings,GSW,24.0,190.5,86.18248,Pittsburgh,USA,1999,1,26,75,9.4,2.5,3.3,0.0,0.032,0.0819999999999999,0.204,0.484,0.2319999999999999,1999-00,1999,0.33116386782244595
1485,1485,Trajan Langdon,CLE,24.0,190.5,88.45044,Duke,USA,1999,1,11,10,4.9,1.5,1.1,18.8,0.031,0.079,0.147,0.546,0.104,1999-00,1999,0.27673198473192656
1488,1488,Shawn Marion,PHX,22.0,200.66,97.52228,Nevada-Las Vegas,USA,1999,1,9,51,10.2,6.5,1.4,5.5,0.094,0.195,0.1939999999999999,0.511,0.089,1999-00,1999,0.36938966458861633
1498,1498,Richard Hamilton,WAS,22.0,198.12,83.91452,Connecticut,USA,1999,1,7,71,9.0,1.8,1.5,0.0,0.031,0.079,0.243,0.482,0.131,1999-00,1999,0.29877471686804463
1509,1509,Randell Jackson,DAL,24.0,210.82,97.52228,Florida State,USA,1999,Undrafted,Undrafted,1,0.0,0.0,0.0,60.4,0.0,0.0,0.0,0.0,0.0,1999-00,1999,0.16184351554126472
1512,1512,Quincy Lewis,UTA,23.0,200.66,97.52228,Minnesota,USA,1999,1,19,74,3.8,1.5,0.5,0.0,0.059,0.087,0.187,0.441,0.08,1999-00,1999,0.2071978317063438
1520,1520,Rodney Buford,MIA,22.0,195.58,85.728888,Creighton,USA,1999,2,53,34,4.3,1.4,0.6,0.0,0.031,0.1169999999999999,0.2019999999999999,0.457,0.094,1999-00,1999,0.22028440378421768
1531,1531,Scott Padgett,UTA,24.0,205.74,108.86208,Kentucky,USA,1999,1,28,47,2.6,1.9,0.5,0.0,0.068,0.1689999999999999,0.184,0.395,0.092,1999-00,1999,0.19579857347666704
1541,1541,Ryan Robertson,SAC,23.0,195.58,86.18248,Kansas,USA,1999,2,45,1,5.0,0.0,0.0,0.0,0.0,0.0,0.119,0.3879999999999999,0.0,1999-00,1999,0.14722336799719582
1559,1559,Calvin Booth,WAS,24.0,210.82,109.315672,Penn State,USA,1999,2,35,11,3.8,2.9,0.6,0.0,0.123,0.157,0.184,0.4029999999999999,0.073,1999-00,1999,0.22157597897602996
1561,1561,Cal Bowdler,ATL,23.0,208.28,111.13004,Old Dominion,USA,1999,1,17,46,2.7,1.8,0.3,0.0,0.055,0.1689999999999999,0.156,0.4629999999999999,0.0559999999999999,1999-00,1999,0.18974622551850354
1582,1582,Corey Maggette,ORL,20.0,198.12,98.883056,Duke,USA,1999,1,13,77,8.4,3.9,0.8,0.0,0.1009999999999999,0.144,0.2239999999999999,0.5529999999999999,0.071,1999-00,1999,0.3128559601333261
1594,1594,Chris Herren,DEN,24.0,187.96,86.18248,Fresno State,USA,1999,2,33,45,3.1,1.2,2.5,0.0,0.023,0.075,0.136,0.498,0.297,1999-00,1999,0.22526992628290463
1611,1611,Andre Miller,CLE,24.0,187.96,92.079176,Utah,USA,1999,1,8,82,11.1,3.4,5.8,0.0,0.046,0.105,0.222,0.517,0.386,1999-00,1999,0.4189077058352981
1617,1617,Aleksandar Radojevic,TOR,23.0,220.98,111.13004,Barton Community College,USA,1999,1,12,3,2.3,2.7,0.3,0.0,0.061,0.231,0.228,0.363,0.077,1999-00,1999,0.21469855675052685
1625,1625,A.J. Bramlett,CLE,23.0,208.28,102.965384,Arizona,USA,1999,2,39,8,1.0,2.8,0.0,0.0,0.158,0.208,0.146,0.19,0.0,1999-00,1999,0.13862334574479573
1639,1639,Baron Davis,CHH,21.0,190.5,95.25432,UCLA,USA,1999,1,3,82,5.9,2.0,3.8,1.7,0.037,0.086,0.188,0.486,0.3339999999999999,1999-00,1999,0.3073918295691526
1655,1655,Jason Terry,ATL,22.0,187.96,78.017824,Arizona,USA,1999,1,10,81,8.1,2.0,4.3,0.0,0.0139999999999999,0.083,0.191,0.497,0.3,1999-00,1999,0.33148803349386574
1670,1670,Evan Eschmeyer,NJN,25.0,210.82,115.66596,Northwestern,USA,1999,2,34,31,2.9,3.5,0.7,0.0,0.118,0.218,0.128,0.534,0.088,1999-00,1999,0.222131299035224
1687,1687,James Posey,DEN,23.0,203.2,97.52228,Xavier,USA,1999,1,18,81,8.2,3.9,1.8,0.0,0.045,0.125,0.148,0.55,0.106,1999-00,1999,0.2984857917830123
1707,1707,Elton Brand,CHI,21.0,203.2,117.93392,Duke,USA,1999,1,1,81,20.1,10.0,1.9,0.0,0.131,0.184,0.2689999999999999,0.528,0.118,1999-00,1999,0.5187213761759802
1748,1748,Devean George,LAL,22.0,203.2,99.79024,Augsburg,USA,1999,1,23,49,3.2,1.5,0.2,4.1,0.088,0.135,0.2269999999999999,0.478,0.061,1999-00,1999,0.2308381825552314
1755,1755,Dion Glover,ATL,21.0,195.58,103.418976,Georgia Tech,USA,1999,1,20,30,6.5,1.3,0.9,0.0,0.037,0.059,0.2239999999999999,0.483,0.108,1999-00,1999,0.25400933684984334
1765,1765,Jason Hart,MIL,23.0,187.96,82.10015200000001,Syracuse,USA,2000,2,49,1,2.0,0.0,1.0,0.0,0.0,0.0,0.126,1.0,0.25,2000-01,2000,0.2448908982937618
1766,1766,Jason Collier,HOU,23.0,213.36,117.93392,Georgia Tech,USA,2000,1,15,23,3.1,1.6,0.3,0.0,0.059,0.16,0.1939999999999999,0.435,0.05,2000-01,2000,0.20167708214422378
1768,1768,Jerome Moiso,BOS,23.0,208.28,105.233344,UCLA,France,2000,1,11,24,1.5,1.8,0.1,0.0,0.091,0.273,0.187,0.422,0.043,2000-01,2000,0.18407913665077735
1789,1789,Joel Przybilla,MIL,21.0,215.9,115.66596,Minnesota,USA,2000,1,9,33,0.8,2.2,0.1,0.0,0.115,0.161,0.09,0.3389999999999999,0.011,2000-01,2000,0.13015603099418674
1795,1795,Jamal Crawford,CHI,21.0,195.58,90.7184,Michigan,USA,2000,1,8,61,4.6,1.5,2.3,0.0,0.01,0.092,0.178,0.442,0.235,2000-01,2000,0.2453167693577496
1816,1816,Jamaal Magloire,CHH,23.0,208.28,117.93392,Kentucky,Canada,2000,1,19,74,4.6,4.0,0.4,3.2,0.111,0.195,0.1639999999999999,0.506,0.042,2000-01,2000,0.25477943186052676
1818,1818,Jake Voskuhl,CHI,23.0,210.82,111.13004,Connecticut,USA,2000,2,33,16,1.9,2.1,0.3,0.0,0.098,0.2,0.141,0.481,0.068,2000-01,2000,0.1846669609791957
1822,1822,Jabari Smith,SAC,24.0,210.82,113.398,Louisiana State,USA,2000,2,45,9,2.9,0.9,0.7,2.6,0.019,0.106,0.2,0.528,0.15,2000-01,2000,0.2225919864814793
1823,1823,Hanno Mottola,ATL,24.0,210.82,112.037224,Utah,Finland,2000,2,40,73,4.4,2.4,0.3,0.0,0.055,0.145,0.175,0.504,0.044,2000-01,2000,0.22476916149288295
1836,1836,Michael Redd,MIL,21.0,198.12,97.068688,Ohio State,USA,2000,2,43,6,2.2,0.7,0.2,0.0,0.073,0.038,0.283,0.3,0.0559999999999999,2000-01,2000,0.1976663750306321
1849,1849,Mateen Cleaves,DET,23.0,187.96,92.98636,Michigan State,USA,2000,1,14,78,5.4,1.7,2.7,0.0,0.022,0.091,0.205,0.4579999999999999,0.281,2000-01,2000,0.27589816624270996
1853,1853,Mark Madsen,LAL,25.0,205.74,108.86208,Stanford,USA,2000,1,29,70,2.0,2.2,0.3,0.0,0.127,0.1369999999999999,0.108,0.53,0.06,2000-01,2000,0.1803133621772128
1864,1864,Morris Peterson,TOR,23.0,200.66,98.883056,Michigan State,USA,2000,1,21,80,9.3,3.2,1.3,2.5,0.068,0.094,0.2019999999999999,0.507,0.093,2000-01,2000,0.3095426068332349
1869,1869,Mike Smith,WAS,25.0,203.2,88.45044,Louisiana-Monroe,USA,2000,2,35,17,3.0,1.3,0.6,0.0,0.061,0.084,0.177,0.386,0.093,2000-01,2000,0.1878312061552063
1871,1871,Mike Miller,ORL,21.0,203.2,98.883056,Florida,USA,2000,1,5,82,11.9,4.0,1.7,2.6,0.03,0.122,0.183,0.541,0.095,2000-01,2000,0.34467216955192786
1884,1884,Khalid El-Amin,CHI,22.0,177.8,90.7184,Connecticut,USA,2000,2,34,50,6.3,1.6,2.9,0.0,0.023,0.08,0.193,0.4579999999999999,0.288,2000-01,2000,0.2797552608242455
1890,1890,Kenyon Martin,NJN,23.0,205.74,104.32616,Cincinnati,USA,2000,1,1,68,12.0,7.4,1.9,0.0,0.066,0.191,0.2,0.472,0.103,2000-01,2000,0.3865250900093086
1892,1892,Keyon Dooling,LAC,21.0,195.58,87.543256,Missouri,USA,2000,1,10,76,5.9,1.2,2.3,0.0,0.008,0.07,0.1989999999999999,0.509,0.253,2000-01,2000,0.26982736361609333
1897,1897,Marcus Fizer,CHI,22.0,205.74,118.841104,Iowa State,USA,2000,1,4,72,9.5,4.3,1.1,0.0,0.055,0.19,0.247,0.476,0.0969999999999999,2000-01,2000,0.3300766396812184
1900,1900,Mamadou N'diaye,TOR,26.0,213.36,115.66596,Auburn,Senegal,2000,1,26,3,1.3,0.7,0.0,0.0,0.143,0.143,0.211,0.41,0.0,2000-01,2000,0.17364957944245932
1910,1910,Lavor Postell,NYK,23.0,195.58,92.98636,St. John's (NY),USA,2000,2,39,26,2.3,1.0,0.2,4.1,0.0579999999999999,0.1009999999999999,0.233,0.4479999999999999,0.0579999999999999,2000-01,2000,0.21532384867848184
1925,1925,Brian Cardinal,DET,24.0,203.2,111.13004,Purdue,USA,2000,2,44,15,2.1,1.5,0.2,0.0,0.068,0.14,0.162,0.3979999999999999,0.052,2000-01,2000,0.17167018339553639
1938,1938,Chris Mihm,CLE,21.0,215.9,120.20188,Texas,USA,2000,1,7,59,7.6,4.7,0.3,0.0,0.106,0.1669999999999999,0.203,0.5,0.024,2000-01,2000,0.29104708809978086
1953,1953,Chris Porter,GSW,23.0,200.66,98.883056,Auburn,USA,2000,2,55,51,8.6,3.7,1.2,0.0,0.071,0.103,0.204,0.434,0.088,2000-01,2000,0.2922960767469769
1970,1970,A.J. Guyton,CHI,23.0,185.42,81.64656,Indiana,USA,2000,2,32,33,6.0,1.1,1.9,0.0,0.018,0.053,0.1689999999999999,0.495,0.198,2000-01,2000,0.24605744184294517
2000,2000,Donnell Harvey,DAL,20.0,203.2,99.79024,Florida,USA,2000,1,22,18,1.2,1.1,0.1,0.0,0.094,0.206,0.187,0.523,0.059,2000-01,2000,0.18796835751269433
2008,2008,Desmond Mason,SEA,23.0,195.58,97.52228,Oklahoma State,USA,2000,1,17,78,5.9,3.2,0.8,0.0,0.055,0.138,0.157,0.483,0.066,2000-01,2000,0.2456505458540894
2018,2018,Erick Barkley,POR,23.0,185.42,80.28578399999998,St. John's (NY),USA,2000,1,28,8,2.4,0.4,0.8,0.0,0.0,0.086,0.304,0.432,0.25,2000-01,2000,0.2366054478809955
2028,2028,Eduardo Najera,DAL,24.0,203.2,106.140528,Oklahoma,Mexico,2000,2,38,40,3.3,2.4,0.7,0.0,0.107,0.142,0.146,0.522,0.093,2000-01,2000,0.21539439901695256
2031,2031,Eddie House,MIA,23.0,185.42,81.64656,Arizona State,USA,2000,2,37,50,5.0,0.8,1.0,0.0,0.01,0.078,0.256,0.478,0.192,2000-01,2000,0.2513034304316713
2035,2035,DerMarr Johnson,ATL,21.0,205.74,91.171992,Cincinnati,USA,2000,1,6,78,5.1,2.3,0.8,0.0,0.046,0.105,0.177,0.4629999999999999,0.079,2000-01,2000,0.23280789318317927
2036,2036,Dan Langhi,HOU,23.0,210.82,99.79024,Vanderbilt,USA,2000,2,31,33,2.7,1.2,0.1,0.0,0.057,0.126,0.222,0.4029999999999999,0.031,2000-01,2000,0.1962059386377757
2042,2042,Courtney Alexander,WAS,24.0,195.58,92.98636,Fresno State,USA,2000,1,13,65,9.5,2.2,1.0,0.0,0.036,0.085,0.2319999999999999,0.484,0.083,2000-01,2000,0.29348324046039315
2054,2054,Dan McClintock,DEN,24.0,213.36,122.46984,Northern Arizona,USA,2000,2,53,6,3.0,2.8,0.2,0.0,0.149,0.171,0.158,0.446,0.025,2000-01,2000,0.20206544596631804
2096,2096,Stromile Swift,VAN,21.0,205.74,102.0582,Louisiana State,USA,2000,1,2,80,4.9,3.6,0.4,0.0,0.099,0.154,0.165,0.487,0.035,2000-01,2000,0.2401826181874097
2157,2157,Quentin Richardson,LAC,21.0,198.12,101.151016,DePaul,USA,2000,1,18,76,8.1,3.4,0.8,0.0,0.088,0.127,0.218,0.516,0.0819999999999999,2000-01,2000,0.2953590660026354
2214,2214,Rodney White,DET,22.0,205.74,107.954896,North Carolina-Charlotte,USA,2001,1,9,16,3.5,1.1,0.8,6.6,0.02,0.1369999999999999,0.287,0.423,0.138,2001-02,2001,0.2632022676654126
2220,2220,Ruben Boumtje-Boumtje,POR,24.0,213.36,111.13004,Georgetown,USA,2001,2,49,33,1.2,1.7,0.1,0.0,0.094,0.165,0.11,0.4529999999999999,0.0279999999999999,2001-02,2001,0.15241623245485086
2231,2231,Richard Jefferson,NJN,22.0,200.66,100.697424,Arizona,USA,2001,1,13,79,9.4,3.7,1.8,2.7,0.049,0.125,0.193,0.524,0.125,2001-02,2001,0.32663756027207463
2245,2245,Michael Bradley,TOR,23.0,205.74,102.965384,Villanova,USA,2001,1,17,26,1.2,0.9,0.1,0.0,0.071,0.175,0.133,0.526,0.042,2001-02,2001,0.16250091508991277
2281,2281,Troy Murphy,GSW,22.0,210.82,111.13004,Notre Dame,USA,2001,1,14,82,5.9,3.9,0.9,0.0,0.075,0.181,0.172,0.488,0.08,2001-02,2001,0.26467244278979
2283,2283,Trenton Hassell,CHI,23.0,195.58,90.7184,Austin Peay,USA,2001,2,29,78,8.7,3.3,2.2,0.0,0.033,0.103,0.161,0.502,0.13,2001-02,2001,0.2997116984402041
2300,2300,Zach Randolph,POR,20.0,205.74,122.46984,Michigan State,USA,2001,1,19,41,2.8,1.7,0.3,0.0,0.144,0.193,0.253,0.479,0.103,2001-02,2001,0.23312070522975517
2302,2302,Will Solomon,MEM,23.0,185.42,83.91452,Clemson,USA,2001,2,32,62,5.2,1.1,1.5,0.0,0.0139999999999999,0.07,0.215,0.442,0.1889999999999999,2001-02,2001,0.24375820412120366
2326,2326,Shane Battier,MEM,23.0,203.2,99.79024,Duke,USA,2001,1,6,78,14.4,5.4,2.8,0.0,0.064,0.086,0.181,0.518,0.1159999999999999,2001-02,2001,0.3926724337875702
2335,2335,Samuel Dalembert,PHI,22.0,210.82,113.398,Seton Hall,Haiti,2001,1,26,34,1.5,2.0,0.1,0.0,0.153,0.285,0.172,0.44,0.047,2001-02,2001,0.18327307075262808
2347,2347,Terence Morris,HOU,23.0,205.74,100.243832,Maryland,USA,2001,2,33,68,3.8,3.1,0.9,0.0,0.076,0.14,0.142,0.423,0.096,2001-02,2001,0.21553916927812675
2352,2352,Steven Hunter,ORL,20.0,208.28,101.604608,DePaul,USA,2001,1,15,53,3.6,1.8,0.1,0.0,0.0819999999999999,0.1119999999999999,0.176,0.502,0.016,2001-02,2001,0.20679114283261602
2366,2366,Gilbert Arenas,GSW,20.0,190.5,86.636072,Arizona,USA,2001,2,30,47,10.9,2.8,3.7,0.0,0.036,0.083,0.1969999999999999,0.562,0.241,2001-02,2001,0.36325487689192254
2367,2367,Gerald Wallace,SAC,19.0,200.66,97.52228,Alabama,USA,2001,1,25,54,3.2,1.6,0.5,1.6,0.1119999999999999,0.086,0.205,0.4429999999999999,0.094,2001-02,2001,0.2166556836965298
2421,2421,Earl Watson,SEA,23.0,185.42,86.18248,UCLA,USA,2001,2,39,64,3.6,1.3,2.0,3.8,0.0409999999999999,0.067,0.139,0.507,0.196,2001-02,2001,0.23305375456640023
2437,2437,Eddie Griffin,HOU,20.0,208.28,99.79024,Seton Hall,USA,2001,1,7,73,8.8,5.7,0.7,0.0,0.069,0.175,0.183,0.456,0.049,2001-02,2001,0.30613424628481933
2441,2441,Jamaal Tinsley,IND,24.0,190.5,88.45044,Iowa State,USA,2001,1,27,80,9.4,3.7,8.1,0.7,0.036,0.099,0.2019999999999999,0.446,0.409,2001-02,2001,0.4394225235807814
2446,2446,Kirk Haston,CHH,23.0,205.74,109.769264,Indiana,USA,2001,1,16,15,1.7,1.3,0.3,0.0,0.072,0.188,0.249,0.306,0.114,2001-02,2001,0.19090425234167693
2454,2454,Kenny Satterfield,DEN,21.0,185.42,79.83219199999998,Cincinnati,USA,2001,2,53,36,5.3,1.4,3.0,0.0,0.032,0.084,0.218,0.431,0.335,2001-02,2001,0.27835187597893096
2472,2472,Loren Woods,MIN,24.0,215.9,111.583632,Arizona,USA,2001,2,45,60,1.8,2.0,0.4,0.0,0.098,0.168,0.139,0.449,0.063,2001-02,2001,0.17869578366800876
2480,2480,Kedrick Brown,BOS,21.0,200.66,100.697424,Northwest Florida State,USA,2001,1,11,29,2.2,1.7,0.5,0.0,0.046,0.168,0.159,0.4,0.102,2001-02,2001,0.1802325562517321
2485,2485,Jeff Trepagnier,CLE,22.0,193.04,90.7184,Southern California,USA,2001,2,35,12,1.5,1.0,1.0,3.6,0.046,0.127,0.203,0.345,0.255,2001-02,2001,0.19538702698979496
2490,2490,Jason Richardson,GSW,21.0,198.12,99.79024,Michigan State,USA,2001,1,5,80,14.4,4.3,3.0,0.0,0.049,0.089,0.213,0.487,0.149,2001-02,2001,0.39013681432145403
2493,2493,Jason Collins,NJN,23.0,213.36,117.93392,Stanford,USA,2001,1,18,77,4.5,3.9,1.1,3.5,0.107,0.142,0.138,0.5,0.094,2001-02,2001,0.2554502111959707
2496,2496,Jarron Collins,UTA,23.0,210.82,114.305184,Stanford,USA,2001,2,52,70,6.4,4.2,0.8,2.4,0.113,0.14,0.152,0.532,0.065,2001-02,2001,0.27516630907662337
2498,2498,Jamison Brewer,IND,21.0,187.96,80.73937600000001,Auburn,USA,2001,2,40,13,0.3,0.6,0.7,3.8,0.044,0.15,0.083,0.4,0.321,2001-02,2001,0.1329873635631015
2505,2505,Joseph Forte,BOS,21.0,193.04,87.996848,North Carolina,USA,2001,1,21,8,0.8,0.8,0.8,0.0,0.027,0.143,0.19,0.218,0.273,2001-02,2001,0.14849568012804384
2516,2516,Joe Johnson,PHX,21.0,200.66,102.0582,Arkansas,USA,2001,1,10,77,7.5,3.3,2.3,0.0,0.042,0.106,0.162,0.478,0.151,2001-02,2001,0.28987814278917257
2519,2519,Jeryl Sasser,ORL,23.0,198.12,90.7184,Southern Methodist,USA,2001,1,22,7,1.4,1.0,0.3,0.0,0.1,0.133,0.2319999999999999,0.309,0.087,2001-02,2001,0.17776120365932646
2543,2543,Brandon Armstrong,NJN,22.0,195.58,85.275296,Pepperdine,USA,2001,1,23,35,1.8,0.5,0.2,0.0,0.051,0.034,0.226,0.358,0.079,2001-02,2001,0.17669199435207603
2544,2544,Brendan Haywood,WAS,22.0,213.36,120.655472,North Carolina,USA,2001,1,20,62,5.1,5.2,0.5,0.0,0.126,0.159,0.126,0.54,0.038,2001-02,2001,0.2576105470620779
2557,2557,Brian Scalabrine,NJN,24.0,205.74,108.86208,Southern California,USA,2001,2,34,28,2.1,1.8,0.8,2.4,0.047,0.171,0.153,0.408,0.113,2001-02,2001,0.19206129991508705
2591,2591,Damone Brown,PHI,23.0,203.2,91.625584,Syracuse,USA,2001,2,36,17,1.4,0.2,0.1,0.0,0.037,0.042,0.2289999999999999,0.469,0.051,2001-02,2001,0.18631796720748342
2603,2603,Alvin Jones,PHI,23.0,210.82,120.20188,Georgia Tech,USA,2001,2,56,23,1.1,1.6,0.1,0.0,0.13,0.235,0.144,0.451,0.036,2001-02,2001,0.16456043565987225
2604,2604,Alton Ford,PHX,21.0,205.74,124.7378,Houston,USA,2001,2,50,53,3.1,2.0,0.1,0.0,0.085,0.193,0.175,0.573,0.027,2001-02,2001,0.21673926886015962
2614,2614,Bobby Simmons,WAS,22.0,198.12,106.59412,DePaul,USA,2001,2,41,30,3.7,1.7,0.6,0.5,0.087,0.095,0.166,0.518,0.085,2001-02,2001,0.21570150282924094
2651,2651,Melvin Ely,LAC,25.0,208.28,117.93392,Fresno State,USA,2002,1,12,52,4.5,3.3,0.3,3.4,0.094,0.154,0.153,0.54,0.03,2002-03,2002,0.2434070393619304
2668,2668,Mike Dunleavy,GSW,22.0,205.74,100.243832,Duke,USA,2002,1,3,82,5.7,2.6,1.3,2.5,0.055,0.123,0.176,0.505,0.125,2002-03,2002,0.2641543730083111
2691,2691,Marcus Haislip,MIL,22.0,208.28,104.32616,Tennessee,USA,2002,1,13,39,4.1,1.4,0.2,0.0,0.054,0.087,0.1989999999999999,0.474,0.036,2002-03,2002,0.21221139577831805
2706,2706,Kareem Rush,LAL,22.0,198.12,97.52228,Missouri,USA,2002,1,20,76,3.0,1.2,0.9,0.0,0.033,0.088,0.162,0.447,0.119,2002-03,2002,0.19558314494276133
2711,2711,Juan Dixon,WAS,24.0,190.5,74.389088,Maryland,USA,2002,1,17,42,6.4,1.7,1.0,0.0,0.024,0.108,0.238,0.4639999999999999,0.118,2002-03,2002,0.2639324857443112
2730,2730,Lonny Baxter,CHI,24.0,203.2,117.93392,Maryland,USA,2002,2,43,55,4.8,3.0,0.3,0.0,0.103,0.159,0.1889999999999999,0.521,0.04,2002-03,2002,0.244670595742157
2769,2769,Ryan Humphrey,MEM,23.0,203.2,106.59412,Notre Dame,USA,2002,1,19,48,1.9,2.1,0.2,0.0,0.08,0.1639999999999999,0.159,0.3389999999999999,0.043,2002-03,2002,0.16812790334346886
2776,2776,Rasual Butler,MIA,24.0,200.66,92.98636,La Salle,USA,2002,2,52,72,7.5,2.6,1.3,0.0,0.021,0.118,0.215,0.437,0.1159999999999999,2002-03,2002,0.27627939194305867
2786,2786,Robert Archibald,MEM,23.0,210.82,113.398,Illinois,Scotland,2002,2,31,12,1.6,1.4,0.3,0.0,0.088,0.162,0.225,0.34,0.071,2002-03,2002,0.186638630894337
2793,2793,Roger Mason Jr.,CHI,22.0,195.58,90.7184,Virginia,USA,2002,2,30,17,1.8,0.7,0.7,0.0,0.02,0.093,0.148,0.471,0.1639999999999999,2002-03,2002,0.17381475355971157
2797,2797,Qyntel Woods,POR,22.0,203.2,100.243832,Northeast Mississippi Community College,USA,2002,1,21,53,2.4,1.0,0.2,0.0,0.051,0.146,0.208,0.505,0.064,2002-03,2002,0.2032643481487232
2806,2806,Vincent Yarbrough,DEN,22.0,200.66,95.25432,Tennessee,USA,2002,2,32,59,6.9,2.7,2.2,0.0,0.0289999999999999,0.115,0.174,0.446,0.16,2002-03,2002,0.2753402870136709
2830,2830,Tamar Slay,NJN,23.0,203.2,97.52228,Marshall,USA,2002,2,53,36,2.6,0.9,0.4,0.0,0.033,0.1009999999999999,0.213,0.428,0.086,2002-03,2002,0.19737913346203817
2832,2832,Tayshaun Prince,DET,23.0,205.74,97.52228,Kentucky,USA,2002,1,23,42,3.3,1.1,0.6,0.0,0.013,0.108,0.1639999999999999,0.546,0.104,2002-03,2002,0.2066505647337246
2839,2839,Tito Maddox,HOU,22.0,193.04,86.18248,Fresno State,USA,2002,2,37,9,1.2,0.8,0.6,0.0,0.031,0.162,0.237,0.354,0.217,2002-03,2002,0.18875685713366477
2851,2851,John Salmons,PHI,23.0,200.66,95.25432,Miami (FL),USA,2002,1,26,64,2.1,0.9,0.7,2.5,0.039,0.102,0.145,0.502,0.153,2002-03,2002,0.18901289727047063
2855,2855,Chris Jefferies,TOR,23.0,203.2,97.52228,Fresno State,USA,2002,1,27,51,3.9,1.2,0.4,0.0,0.025,0.081,0.176,0.4629999999999999,0.057,2002-03,2002,0.20043051489169747
2866,2866,Casey Jacobsen,PHX,22.0,198.12,97.52228,Stanford,USA,2002,1,22,72,5.1,1.2,1.0,4.3,0.0279999999999999,0.054,0.166,0.493,0.1009999999999999,2002-03,2002,0.23292607606818683
2867,2867,Caron Butler,MIA,23.0,200.66,98.429464,Connecticut,USA,2002,1,10,78,15.4,5.1,2.7,0.0,0.053,0.11,0.2289999999999999,0.502,0.14,2002-03,2002,0.41161420660341586
2868,2868,Carlos Boozer,CLE,21.0,205.74,127.00576,Duke,USA,2002,2,34,81,10.0,7.5,1.3,0.0,0.108,0.231,0.17,0.5770000000000001,0.09,2002-03,2002,0.36528695828322805
2877,2877,Chris Owens,MEM,24.0,200.66,111.13004,Texas,USA,2002,2,47,1,4.0,1.0,0.0,39.1,0.3329999999999999,0.0,0.288,0.667,0.0,2002-03,2002,0.37501722319453884
2884,2884,Dan Gadzuric,MIL,25.0,210.82,108.86208,UCLA,Netherlands,2002,2,33,49,3.4,4.0,0.2,0.0,0.099,0.198,0.119,0.498,0.018,2002-03,2002,0.2131448999284157
2885,2885,Dan Dickau,ATL,24.0,182.88,86.18248,Gonzaga,USA,2002,1,28,50,3.7,0.9,1.7,0.0,0.019,0.078,0.201,0.504,0.292,2002-03,2002,0.2380483433023919
2891,2891,Dajuan Wagner,CLE,20.0,190.5,90.7184,Memphis,USA,2002,1,6,47,13.4,1.7,2.8,0.0,0.016,0.051,0.238,0.466,0.1689999999999999,2002-03,2002,0.35003573733650634
2902,2902,Chris Wilcox,LAC,20.0,208.28,100.243832,Maryland,USA,2002,1,8,46,3.7,2.3,0.5,3.2,0.08,0.16,0.18,0.528,0.076,2002-03,2002,0.2368962609774096
2963,2963,Jamal Sampson,MIL,20.0,210.82,106.59412,California,USA,2002,2,46,5,0.0,0.4,0.2,12.3,0.125,0.125,0.118,0.0,0.3329999999999999,2002-03,2002,0.09313348822923728
