,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,composite_performance_score
357,357,Priest Lauderdale,ATL,23.0,223.52,155.582056,Central State (OH),USA,1996,1,28,35,3.2,1.2,0.3,0.0,0.093,0.1639999999999999,0.284,0.56,0.107,1996-97,1996,0.2549246729183285
362,362,Ray Allen,MIL,21.0,195.58,92.98636,Connecticut,USA,1996,1,5,82,13.4,4.0,2.6,0.0,0.046,0.109,0.211,0.541,0.133,1996-97,1996,0.37841255514097555
364,364,Reggie Geary,CLE,23.0,187.96,84.821704,Arizona,USA,1996,2,56,39,1.5,0.4,0.9,7.7,0.019,0.054,0.154,0.4539999999999999,0.2689999999999999,1996-97,1996,0.19204163309234415
390,390,Moochie Norris,VAN,23.0,187.96,85.275296,West Florida,USA,1996,2,33,8,1.5,1.5,2.9,0.0,0.038,0.105,0.149,0.248,0.418,1996-97,1996,0.19256565392560146
401,401,Ben Davis,PHX,24.0,205.74,108.86208,Arizona,USA,1996,2,43,20,1.5,1.4,0.0,0.0,0.132,0.192,0.156,0.417,0.0,1996-97,1996,0.16240373615426937
418,418,Antoine Walker,BOS,20.0,205.74,101.604608,Kentucky,USA,1996,1,6,82,17.5,9.0,3.2,0.0,0.103,0.1889999999999999,0.251,0.474,0.15,1996-97,1996,0.49620974641495774
428,428,Allen Iverson,PHI,22.0,182.88,74.84268,Georgetown,USA,1996,1,1,76,23.5,4.1,7.5,0.0,0.04,0.072,0.284,0.513,0.32,1996-97,1996,0.5767287084871425
439,439,Amal McCaskill,ORL,23.0,210.82,106.59412,Marquette,USA,1996,2,49,17,1.6,1.3,0.4,0.0,0.038,0.2,0.206,0.376,0.146,1996-97,1996,0.18474466926634428
457,457,Maurice Taylor,LAC,21.0,205.74,117.93392,Michigan,USA,1997,1,14,71,11.5,4.2,0.7,0.0,0.089,0.136,0.262,0.521,0.069,1997-98,1997,0.34830395550515325
508,508,Kelvin Cato,POR,23.0,210.82,115.66596,Iowa State,USA,1997,1,15,74,3.8,3.4,0.3,0.0,0.103,0.173,0.147,0.496,0.038,1997-98,1997,0.22126973934487948
509,509,Keith Van Horn,NJN,22.0,208.28,99.79024,Utah,USA,1997,1,2,62,19.7,6.6,1.7,2.9,0.068,0.139,0.251,0.516,0.075,1997-98,1997,0.4624282357256524
547,547,Tony Battie,DEN,22.0,210.82,108.86208,Texas Tech,USA,1997,1,5,65,8.4,5.4,0.9,0.0,0.1009999999999999,0.1669999999999999,0.2019999999999999,0.477,0.075,1997-98,1997,0.314541755397943
