Cincinnati,"[('DEN', 'Danny Fortson', 1997), ('LAL', 'Ruben Patterson', 1998), ('NJN', 'Kenyon Martin', 2000), ('ATL', 'DerMarr Johnson', 2000), ('DEN', 'Kenny Satterfield', 2001), ('DET', 'Jason Maxiell', 2005), ('SAS', 'James White', 2006), ('IND', 'Lance Stephenson', 2010), ('GSW', 'Jacob Evans', 2018)]"
Providence,"[('IND', 'Austin Croshere', 1997), ('WAS', 'God Shammgod', 1997), ('BOS', 'Ryan Gomes', 2005), ('NJN', 'MarShon Brooks', 2011), ('DAL', 'Ricky Ledo', 2013), ('MIN', 'Kris Dunn', 2016), ('DAL', 'Ben Bentil', 2016)]"
Colorado,"[('TOR', 'Chauncey Billups', 1997), ('IND', 'David Harrison', 2004), ('UTA', 'Alec Burks', 2011), ('OKC', 'Andre Roberson', 2013), ('DET', 'Spencer Dinwiddie', 2014), ('SAS', 'Derrick White', 2017), ('DAL', 'Tyler Bey', 2020), ('POR', 'Jabari Walker', 2022)]"
New Mexico,"[('LAC', 'Charles Smith', 1997), ('HOU', 'Kenny Thomas', 1999), ('IND', 'Danny Granger', 2005), ('BOS', 'J.R. Giddens', 2008), ('CHI', 'Tony Snell', 2013), ('CHI', 'Cameron Bairstow', 2014)]"
UCLA,"[('DET', ""Charles O'Bannon"", 1997), ('VAN', 'J.R. Henderson', 1998), ('PHX', 'Toby Bailey', 1998), ('SEA', 'Jelani McCoy', 1998), ('CHH', 'Baron Davis', 1999), ('BOS', 'Jerome Moiso', 2000), ('SEA', 'Earl Watson', 2001), ('MIL', 'Dan Gadzuric', 2002), ('CLE', 'Jason Kapono', 2003), ('NYK', 'Trevor Ariza', 2004), ('PHX', 'Dijon Thompson', 2005), ('CHA', 'Ryan Hollins', 2006), ('LAL', 'Jordan Farmar', 2006), ('DET', 'Arron Afflalo', 2007), ('MIL', 'Luc Mbah a Moute', 2008), ('MIN', 'Kevin Love', 2008), ('OKC', 'Russell Westbrook', 2008), ('NOH', 'Darren Collison', 2009), ('PHI', 'Jrue Holiday', 2009), ('MIN', 'Malcolm Lee', 2011), ('SAC', 'Tyler Honeycutt', 2011), ('MIN', 'Shabazz Muhammad', 2013), ('MIN', 'Zach LaVine', 2014), ('MEM', 'Jordan Adams', 2014), ('SAS', 'Kyle Anderson', 2014), ('GSW', 'Kevon Looney', 2015), ('TOR', 'Norman Powell', 2015), ('LAL', 'Lonzo Ball', 2017), ('IND', 'TJ Leaf', 2017), ('IND', 'Ike Anigbogu', 2017), ('IND', 'Aaron Holiday', 2018), ('DEN', 'Thomas Welsh', 2018), ('DEN', 'Peyton Watson', 2022)]"
Stanford,"[('CLE', 'Brevin Knight', 1997), ('GSW', 'Tim Young', 1999), ('LAL', 'Mark Madsen', 2000), ('NJN', 'Jason Collins', 2001), ('UTA', 'Jarron Collins', 2001), ('PHX', 'Casey Jacobsen', 2002), ('ATL', 'Josh Childress', 2004), ('PHX', 'Robin Lopez', 2008), ('NJN', 'Brook Lopez', 2008), ('NYK', 'Landry Fields', 2010), ('DAL', 'Dwight Powell', 2014), ('LAL', 'Anthony Brown', 2015), ('MIA', 'KZ Okpala', 2019), ('DAL', 'Tyrell Terry', 2020), ('MEM', 'Ziaire Williams', 2021)]"
Cal State-Bakersfield,"[('PHI', 'Kebu Stewart', 1997)]"
Austin Peay,"[('DAL', 'Bubba Wells', 1997), ('CHI', 'Trenton Hassell', 2001)]"
Minnesota,"[('DEN', 'Bobby Jackson', 1997), ('TOR', 'John Thomas', 1997), ('LAL', 'Sam Jacobson', 1998), ('UTA', 'Quincy Lewis', 1999), ('MIL', 'Joel Przybilla', 2000), ('UTA', 'Kris Humphries', 2004), ('LAC', 'Daniel Oturu', 2020)]"
Long Beach State,"[('SEA', 'James Cotton', 1997)]"
Florida State,"[('LAC', 'James Collins', 1997), ('DAL', 'Randell Jackson', 1999), ('LAL', 'Von Wafer', 2005), ('MEM', 'Alexander Johnson', 2006), ('LAC', 'Al Thornton', 2007), ('NYK', 'Toney Douglas', 2009), ('TOR', 'Solomon Alabi', 2010), ('WAS', 'Chris Singleton', 2011), ('DAL', 'Bernard James', 2012), ('DEN', 'Malik Beasley', 2016), ('ORL', 'Jonathan Isaac', 2017), ('CHA', 'Dwayne Bacon', 2017), ('LAC', 'Terance Mann', 2019), ('LAC', 'Mfiondu Kabengele', 2019), ('SAS', 'Devin Vassell', 2020), ('CHI', 'Patrick Williams', 2020), ('TOR', 'Scottie Barnes', 2021)]"
Tennessee-Chattanooga,"[('ORL', 'Johnny Taylor', 1997)]"
Tulane,"[('MIL', 'Jerald Honeycutt', 1997), ('ORL', 'Melvin Frazier Jr.', 2018)]"
Rhode Island,"[('HOU', 'Cuttino Mobley', 1998), ('DEN', 'Tyson Wheeler', 1998), ('LAC', 'Lamar Odom', 1999)]"
St. John's (NY),"[('VAN', 'Felipe Lopez', 1998), ('CHI', 'Metta World Peace', 1999), ('NYK', 'Lavor Postell', 2000), ('POR', 'Erick Barkley', 2000), ('ORL', 'Maurice Harkless', 2012)]"
Oregon State,"[('CHI', 'Corey Benjamin', 1998), ('DAL', 'Jared Cunningham', 2012)]"
Ball State,"[('POR', 'Bonzi Wells', 1998)]"
Baylor,"[('LAC', 'Brian Skinner', 1998), ('GSW', 'Ekpe Udoh', 2010), ('DEN', 'Quincy Miller', 2012), ('TOR', 'Quincy Acy', 2012), ('OKC', 'Perry Jones III', 2012), ('BKN', 'Cory Jefferson', 2014), ('ATL', 'Taurean Prince', 2016), ('UTA', 'Jared Butler', 2021), ('SAC', 'Davion Mitchell', 2021), ('IND', 'Kendall Brown', 2022), ('SAS', 'Jeremy Sochan', 2022)]"
Valparaiso,"[('HOU', 'Bryce Drew', 1998), ('PHX', 'Alec Peters', 2017)]"
Toledo,"[('PHI', 'Casey Shaw', 1998), ('GSW', 'Ryan Rollins', 2022)]"
Duke,"[('ATL', 'Roshown McLeod', 1998), ('MIN', 'William Avery', 1999), ('CLE', 'Trajan Langdon', 1999), ('ORL', 'Corey Maggette', 1999), ('CHI', 'Elton Brand', 1999), ('MEM', 'Shane Battier', 2001), ('GSW', 'Mike Dunleavy', 2002), ('CLE', 'Carlos Boozer', 2002), ('CHI', 'Jay Williams', 2002), ('MEM', 'Dahntay Jones', 2003), ('CHI', 'Luol Deng', 2004), ('CHI', 'Chris Duhon', 2004), ('LAC', 'Daniel Ewing', 2005), ('ATL', 'Shelden Williams', 2006), ('ORL', 'JJ Redick', 2006), ('POR', 'Josh McRoberts', 2007), ('CHA', 'Gerald Henderson', 2009), ('CLE', 'Kyrie Irving', 2011), ('POR', 'Nolan Smith', 2011), ('NOH', 'Austin Rivers', 2012), ('IND', 'Miles Plumlee', 2012), ('LAL', 'Ryan Kelly', 2013), ('BKN', 'Mason Plumlee', 2013), ('UTA', 'Rodney Hood', 2014), ('MIL', 'Jabari Parker', 2014), ('PHI', 'Jahlil Okafor', 2015), ('MIN', 'Tyus Jones', 2015), ('MIA', 'Justise Winslow', 2015), ('LAL', 'Brandon Ingram', 2016), ('DET', 'Luke Kennard', 2017), ('BOS', 'Jayson Tatum', 2017), ('UTA', 'Grayson Allen', 2018), ('CHI', 'Wendell Carter Jr.', 2018), ('SAC', 'Marvin Bagley III', 2018), ('ATL', 'Cam Reddish', 2019), ('NOP', 'Zion Williamson', 2019), ('CLE', 'Marques Bolden', 2019), ('NYK', 'RJ Barrett', 2019), ('IND', 'Cassius Stanley', 2020), ('SAS', 'Tre Jones', 2020), ('CHA', 'Vernon Carey Jr.', 2020), ('ATL', 'Jalen Johnson', 2021), ('ORL', 'Paolo Banchero', 2022), ('NYK', 'Trevor Keels', 2022), ('MIN', 'Wendell Moore Jr.', 2022), ('ATL', 'AJ Griffin', 2022), ('CHA', 'Mark Williams', 2022)]"
South Carolina,"[('CLE', 'Ryan Stack', 1998), ('NYK', 'Renaldo Balkman', 2006), ('LAC', 'Sindarius Thornwell', 2017)]"
Notre Dame,"[('PHX', 'Pat Garrity', 1998), ('GSW', 'Troy Murphy', 2001), ('MEM', 'Ryan Humphrey', 2002), ('CLE', 'Luke Harangody', 2010), ('NYK', 'Jerian Grant', 2015), ('POR', 'Pat Connaughton', 2015), ('BOS', 'Demetrius Jackson', 2016), ('SAS', 'Blake Wesley', 2022)]"
Iowa,"[('CHH', 'Ricky Davis', 1998), ('ORL', 'Devyn Marble', 2014), ('DET', 'Luka Garza', 2021), ('SAS', 'Joe Wieskamp', 2021), ('SAC', 'Keegan Murray', 2022)]"
Nebraska,"[('LAL', 'Tyronn Lue', 1998), ('TOR', 'Dalano Banton', 2021), ('CHA', 'Bryce McGowens', 2022)]"
Nevada-Las Vegas,"[('DEN', 'Keon Clark', 1998), ('PHX', 'Shawn Marion', 1999), ('BOS', 'Marcus Banks', 2003), ('CLE', 'Anthony Bennett', 2013), ('GSW', 'Patrick McCaw', 2016), ('ORL', 'Stephen Zimmerman', 2016)]"
Florida,"[('SAC', 'Jason Williams', 1998), ('ORL', 'Mike Miller', 2000), ('DAL', 'Donnell Harvey', 2000), ('NYK', 'David Lee', 2005), ('ATL', 'Al Horford', 2007), ('MIN', 'Chris Richard', 2007), ('MIN', 'Corey Brewer', 2007), ('CHI', 'Joakim Noah', 2007), ('DEN', 'Taurean Green', 2007), ('PHI', 'Marreese Speights', 2008), ('HOU', 'Chandler Parsons', 2011), ('DET', 'Vernon Macklin', 2011), ('WAS', 'Bradley Beal', 2012), ('CHI', 'Erik Murphy', 2013), ('CHA', 'Scottie Lewis', 2021), ('OKC', 'Tre Mann', 2021)]"
Florida A&M,"[('SAC', 'Jerome James', 1998)]"
Pacific,"[('LAC', 'Michael Olowokandi', 1998)]"
Saint Louis,"[('PHI', 'Larry Hughes', 1998)]"
Tulsa,"[('CHI', 'Michael Ruffin', 1999)]"
Washington,"[('PHI', 'Todd MacCulloch', 1999), ('NYK', 'Nate Robinson', 2005), ('POR', 'Brandon Roy', 2006), ('PHI', 'Bobby Jones', 2006), ('SAC', 'Spencer Hawes', 2007), ('SAC', 'Jon Brockman', 2009), ('NOH', 'Quincy Pondexter', 2010), ('SAC', 'Isaiah Thomas', 2011), ('MEM', 'Tony Wroten', 2012), ('TOR', 'Terrence Ross', 2012), ('LAC', 'CJ Wilcox', 2014), ('PHX', 'Marquese Chriss', 2016), ('SAS', 'Dejounte Murray', 2016), ('PHI', 'Markelle Fultz', 2017), ('MIN', 'Jaylen Nowell', 2019), ('PHI', 'Matisse Thybulle', 2019), ('DET', 'Isaiah Stewart', 2020), ('MIN', 'Jaden McDaniels', 2020)]"
Miami (FL),"[('MIA', 'Tim James', 1999), ('PHI', 'John Salmons', 2002), ('IND', 'James Jones', 2003), ('DAL', 'Shane Larkin', 2013)]"
Texas State,"[('IND', 'Jeff Foster', 1999)]"
Miami (OH),"[('MIN', 'Wally Szczerbiak', 1999)]"
Pittsburgh,"[('GSW', 'Vonteego Cummings', 1999), ('GSW', 'Chris Taft', 2005), ('CHI', 'Aaron Gray', 2007), ('MEM', 'Sam Young', 2009), ('SAS', 'DeJuan Blair', 2009), ('OKC', 'Steven Adams', 2013)]"
Creighton,"[('MIA', 'Rodney Buford', 1999), ('PHI', 'Kyle Korver', 2003), ('CHI', 'Doug McDermott', 2014), ('MIN', 'Justin Patton', 2017), ('DET', 'Khyri Thomas', 2018)]"
Penn State,"[('WAS', 'Calvin Booth', 1999)]"
Old Dominion,"[('ATL', 'Cal Bowdler', 1999)]"
Fresno State,"[('DEN', 'Chris Herren', 1999), ('WAS', 'Courtney Alexander', 2000), ('LAC', 'Melvin Ely', 2002), ('HOU', 'Tito Maddox', 2002), ('TOR', 'Chris Jefferies', 2002), ('WAS', 'Dominic McGuire', 2007), ('IND', 'Paul George', 2010)]"
Barton Community College,"[('TOR', 'Aleksandar Radojevic', 1999)]"
Northwestern,"[('NJN', 'Evan Eschmeyer', 1999)]"
Xavier,"[('DEN', 'James Posey', 1999), ('NOH', 'David West', 2003), ('LAC', 'Lionel Chalmers', 2004), ('CHA', 'Derrick Brown', 2009), ('WAS', 'Jordan Crawford', 2010), ('IND', 'Edmond Sumner', 2017)]"
Augsburg,"[('LAL', 'Devean George', 1999)]"
Ohio State,"[('MIL', 'Michael Redd', 2000), ('MIA', 'Daequan Cook', 2007), ('MEM', 'Mike Conley', 2007), ('UTA', 'Kosta Koufos', 2008), ('OKC', 'Byron Mullens', 2009), ('PHI', 'Evan Turner', 2010), ('BOS', 'Jared Sullinger', 2012), ('LAL', ""D'Angelo Russell"", 2015), ('MIN', 'Keita Bates-Diop', 2018), ('SAS', 'Malaki Branham', 2022)]"
Louisiana-Monroe,"[('WAS', 'Mike Smith', 2000)]"
Missouri,"[('LAC', 'Keyon Dooling', 2000), ('LAL', 'Kareem Rush', 2002), ('DEN', 'Linas Kleiza', 2005), ('MEM', 'DeMarre Carroll', 2009), ('DET', 'Kim English', 2012), ('LAL', 'Jordan Clarkson', 2014)]"
Auburn,"[('TOR', ""Mamadou N'diaye"", 2000), ('GSW', 'Chris Porter', 2000), ('IND', 'Jamison Brewer', 2001), ('CLE', 'Isaac Okoro', 2020), ('CHA', 'JT Thor', 2021), ('ATL', 'Sharife Cooper', 2021), ('UTA', 'Walker Kessler', 2022), ('HOU', 'Jabari Smith Jr.', 2022)]"
Purdue,"[('DET', 'Brian Cardinal', 2000), ('HOU', 'Carl Landry', 2007), ('BOS', 'JaJuan Johnson', 2011), ('BOS', ""E'Twaun Moore"", 2011), ('DAL', 'AJ Hammons', 2016), ('POR', 'Caleb Swanigan', 2017), ('HOU', 'Vincent Edwards', 2018), ('BOS', 'Carsen Edwards', 2019), ('DET', 'Jaden Ivey', 2022)]"
Texas,"[('CLE', 'Chris Mihm', 2000), ('MEM', 'Chris Owens', 2002), ('MIL', 'T.J. Ford', 2003), ('ATL', 'Royal Ivey', 2004), ('CLE', 'Daniel Gibson', 2006), ('TOR', 'PJ Tucker', 2006), ('POR', 'LaMarcus Aldridge', 2006), ('SEA', 'Kevin Durant', 2007), ('CHA', 'D.J. Augustin', 2008), ('NJN', 'Damion James', 2010), ('MIA', 'Dexter Pittman', 2010), ('BOS', 'Avery Bradley', 2010), ('SAS', 'Cory Joseph', 2011), ('DEN', 'Jordan Hamilton', 2011), ('CLE', 'Tristan Thompson', 2011), ('IND', 'Myles Turner', 2015), ('BKN', 'Jarrett Allen', 2017)]"
Oklahoma State,"[('SEA', 'Desmond Mason', 2000), ('BOS', 'Tony Allen', 2004), ('TOR', 'Joey Graham', 2005), ('SAS', 'James Anderson', 2010), ('BKN', 'Markel Brown', 2014), ('BOS', 'Marcus Smart', 2014), ('LAC', 'Jawun Evans', 2017), ('DET', 'Cade Cunningham', 2021)]"
Oklahoma,"[('DAL', 'Eduardo Najera', 2000), ('PHX', 'Taylor Griffin', 2009), ('LAC', 'Willie Warren', 2010), ('SAC', 'Buddy Hield', 2016), ('ATL', 'Trae Young', 2018)]"
Arizona State,"[('MIA', 'Eddie House', 2000), ('GSW', 'Ike Diogu', 2005), ('OKC', 'James Harden', 2009), ('POR', 'Jeff Ayres', 2009), ('CLE', 'Carrick Felix', 2013), ('HOU', 'Josh Christopher', 2021)]"
Vanderbilt,"[('HOU', 'Dan Langhi', 2000), ('NOH', 'Matt Freije', 2004), ('CHA', 'Jeffery Taylor', 2012), ('ATL', 'John Jenkins', 2012), ('GSW', 'Festus Ezeli', 2012), ('MEM', 'Wade Baldwin IV', 2016), ('GSW', 'Damian Jones', 2016), ('CLE', 'Darius Garland', 2019), ('BOS', 'Aaron Nesmith', 2020), ('DET', 'Saben Lee', 2020)]"
Northern Arizona,"[('DEN', 'Dan McClintock', 2000)]"
DePaul,"[('LAC', 'Quentin Richardson', 2000), ('ORL', 'Steven Hunter', 2001), ('WAS', 'Bobby Simmons', 2001), ('NYK', 'Wilson Chandler', 2007), ('PHI', 'Paul Reed', 2020)]"
North Carolina-Charlotte,"[('DET', 'Rodney White', 2001)]"
Clemson,"[('MEM', 'Will Solomon', 2001), ('WAS', 'Trevor Booker', 2010), ('HOU', 'KJ McDaniels', 2014)]"
Seton Hall,"[('PHI', 'Samuel Dalembert', 2001), ('HOU', 'Eddie Griffin', 2001), ('BKN', 'Isaiah Whitehead', 2016), ('MIL', 'Sandro Mamukelashvili', 2021)]"
Northwest Florida State,"[('BOS', 'Kedrick Brown', 2001)]"
Arkansas,"[('PHX', 'Joe Johnson', 2001), ('UTA', 'Ronnie Brewer', 2006), ('DEN', 'Sonny Weems', 2008), ('CHI', 'Bobby Portis', 2015), ('CHI', 'Daniel Gafford', 2019), ('PHI', 'Isaiah Joe', 2020), ('GSW', 'Moses Moody', 2021), ('OKC', 'Jaylin Williams', 2022)]"
Southern Methodist,"[('ORL', 'Jeryl Sasser', 2001), ('MIL', 'Sterling Brown', 2017), ('BOS', 'Semi Ojeleye', 2017), ('PHI', 'Shake Milton', 2018)]"
Pepperdine,"[('NJN', 'Brandon Armstrong', 2001), ('DET', 'Alex Acker', 2005), ('BKN', 'Kessler Edwards', 2021)]"
Houston,"[('PHX', 'Alton Ford', 2001), ('NYK', 'Damyean Dotson', 2017), ('NYK', 'Quentin Grimes', 2021)]"
La Salle,"[('MIA', 'Rasual Butler', 2002)]"
Illinois,"[('MEM', 'Robert Archibald', 2002), ('NYK', 'Frank Williams', 2002), ('LAL', 'Brian Cook', 2003), ('HOU', 'Luther Head', 2005), ('UTA', 'Deron Williams', 2005), ('ORL', 'James Augustine', 2006), ('UTA', 'Dee Brown', 2006), ('POR', 'Meyers Leonard', 2012), ('CHI', 'Ayo Dosunmu', 2021)]"
Virginia,"[('CHI', 'Roger Mason Jr.', 2002), ('CHA', 'Sean Singletary', 2008), ('ATL', 'Mike Scott', 2012), ('CLE', 'Joe Harris', 2014), ('DAL', 'Justin Anderson', 2015), ('MIL', 'Malcolm Brogdon', 2016), ('SAC', 'Kyle Guy', 2019), ('ATL', ""De'Andre Hunter"", 2019), ('PHX', 'Ty Jerome', 2019), ('NOP', 'Trey Murphy III', 2021)]"
Northeast Mississippi Community College,"[('POR', 'Qyntel Woods', 2002)]"
Marshall,"[('NJN', 'Tamar Slay', 2002), ('SAC', 'Hassan Whiteside', 2010)]"
Gonzaga,"[('ATL', 'Dan Dickau', 2002), ('LAL', 'Ronny Turiaf', 2005), ('CHA', 'Adam Morrison', 2006), ('DET', 'Austin Daye', 2009), ('LAL', 'Robert Sacre', 2012), ('BOS', 'Kelly Olynyk', 2013), ('OKC', 'Domantas Sabonis', 2016), ('POR', 'Zach Collins', 2017), ('MEM', 'Brandon Clarke', 2019), ('WAS', 'Rui Hachimura', 2019), ('GSW', 'Zach Norvell Jr.', 2019), ('ORL', 'Jalen Suggs', 2021), ('WAS', 'Corey Kispert', 2021), ('IND', 'Andrew Nembhard', 2022)]"
Oregon,"[('IND', 'Fred Jones', 2002), ('SEA', 'Luke Ridnour', 2003), ('CLE', 'Luke Jackson', 2004), ('HOU', 'Aaron Brooks', 2007), ('SAS', 'Malik Hairston', 2008), ('IND', 'Joe Young', 2015), ('ATL', 'Tyler Dorsey', 2017), ('MEM', 'Dillon Brooks', 2017), ('GSW', 'Jordan Bell', 2017), ('WAS', 'Troy Brown Jr.', 2018), ('DEN', 'Bol Bol', 2019), ('BOS', 'Payton Pritchard', 2020), ('IND', 'Chris Duarte', 2021)]"
Shaw,"[('SEA', 'Flip Murray', 2002)]"
Central Michigan,"[('LAC', 'Chris Kaman', 2003)]"
Ohio,"[('BOS', 'Brandon Hunter', 2003)]"
North Dakota,"[('MIA', 'Jerome Beasley', 2003)]"
Detroit Mercy,"[('PHI', 'Willie Green', 2003), ('SAC', 'Ray McCallum', 2013)]"
Boston College,"[('MEM', 'Troy Bell', 2003), ('MIN', 'Craig Smith', 2006), ('CHA', 'Jared Dudley', 2007), ('NJN', 'Sean Williams', 2007), ('OKC', 'Reggie Jackson', 2011), ('LAC', 'Jerome Robinson', 2018)]"
Brigham Young,"[('ATL', 'Travis Hansen', 2003), ('TOR', 'Rafael Araujo', 2004), ('SAC', 'Jimmer Fredette', 2011)]"
Central Florida,"[('ORL', 'Mark Jones', 2004), ('HOU', 'Jermaine Taylor', 2009)]"
Cal State-Fullerton,"[('TOR', 'Pape Sow', 2004)]"
Nevada,"[('UTA', 'Kirk Snyder', 2004), ('LAC', 'Nick Fazekas', 2007), ('MIL', 'Ramon Sessions', 2007), ('WAS', 'JaVale McGee', 2008), ('POR', 'Armon Johnson', 2010), ('POR', 'Luke Babbitt', 2010), ('TOR', 'Jalen Harris', 2020)]"
Western Carolina,"[('SAC', 'Kevin Martin', 2004)]"
Manhattan,"[('DEN', 'Luis Flores', 2004)]"
Mississippi,"[('BOS', 'Justin Reed', 2004)]"
Saint Joseph's,"[('BOS', 'Delonte West', 2004), ('ORL', 'Jameer Nelson', 2004), ('ATL', ""DeAndre' Bembry"", 2016)]"
Wisconsin,"[('DAL', 'Devin Harris', 2004), ('PHX', 'Alando Tucker', 2007), ('MIL', 'Jon Leuer', 2011), ('CHA', 'Frank Kaminsky', 2015), ('HOU', 'Sam Dekker', 2015), ('WAS', 'Johnny Davis', 2022)]"
Southeastern Illinois,"[('ATL', 'Donta Smith', 2004)]"
Yonsei (KOR),"[('POR', 'Ha Ha', 2004)]"
Walsh,"[('UTA', 'Robert Whaley', 2005)]"
Louisiana-Lafayette,"[('BOS', 'Orien Greene', 2005), ('ORL', 'Elfrid Payton', 2014)]"
Texas A&M,"[('NJN', 'Antoine Wright', 2005), ('ATL', 'Acie Law', 2007), ('LAC', 'DeAndre Jordan', 2008), ('DET', 'Khris Middleton', 2012), ('BOS', 'Robert Williams III', 2018)]"
Rutgers,"[('SAC', 'Quincy Douby', 2006), ('WAS', 'Hamady Ndiaye', 2010)]"
Louisiana Tech,"[('UTA', 'Paul Millsap', 2006)]"
South Florida,"[('ATL', 'Solomon Jones', 2006), ('DAL', 'Dominique Jones', 2010)]"
Temple,"[('NYK', 'Mardy Collins', 2006), ('PHI', 'Lavoy Allen', 2011)]"
Colorado State,"[('PHI', 'Jason Smith', 2007), ('MEM', 'David Roddy', 2022)]"
Eastern Washington,"[('DET', 'Rodney Stuckey', 2007)]"
Rice,"[('UTA', 'Morris Almond', 2007)]"
West Virginia,"[('MIL', 'Joe Alexander', 2008), ('LAL', 'Devin Ebanks', 2010), ('MEM', 'Jevon Carter', 2018), ('NYK', 'Miles McBride', 2021)]"
Rider,"[('SAC', 'Jason Thompson', 2008)]"
Kansas State,"[('BOS', 'Henry Walker', 2008), ('MIA', 'Michael Beasley', 2008), ('ORL', 'Wes Iwundu', 2017)]"
Indiana Purdue-Indianapolis,"[('SAS', 'George Hill', 2008)]"
Alabama-Birmingham,"[('DET', 'Walter Sharpe', 2008)]"
Midland,"[('TOR', 'Nathan Jawai', 2008)]"
Saint Mary's (CA),"[('POR', 'Patty Mills', 2009)]"
Davidson,"[('GSW', 'Stephen Curry', 2009)]"
Virginia Commonwealth,"[('OKC', 'Eric Maynor', 2009), ('MIL', 'Larry Sanders', 2010), ('DEN', 'Bones Hyland', 2021), ('MEM', 'Vince Williams Jr.', 2022)]"
Tennessee-Martin,"[('MEM', 'Lester Hudson', 2009)]"
Butler,"[('UTA', 'Gordon Hayward', 2010), ('WAS', 'Shelvin Mack', 2011)]"
Le Moyne,"[('WAS', 'Kevin Seraphin', 2010)]"
Texas-El Paso,"[('LAL', 'Derrick Caracter', 2010)]"
Richmond,"[('ORL', 'Justin Harper', 2011)]"
San Diego State,"[('SAS', 'Kawhi Leonard', 2011), ('MEM', 'Jamaal Franklin', 2013), ('CHA', 'Jalen McDaniels', 2019), ('TOR', 'Malachi Flynn', 2020)]"
Morehead State,"[('DEN', 'Kenneth Faried', 2011)]"
Oakland,"[('GSW', 'Keith Benson', 2011)]"
Northern Illinois,"[('PHI', 'Xavier Silas', 2011)]"
Hofstra,"[('GSW', 'Charles Jenkins', 2011), ('UTA', 'Justin Wright-Foreman', 2019)]"
Cleveland State,"[('MIA', 'Norris Cole', 2011)]"
St. Bonaventure,"[('ORL', 'Andrew Nicholson', 2012)]"
Weber State,"[('POR', 'Damian Lillard', 2012), ('UTA', 'Joel Bolomboy', 2016)]"
California-Santa Barbara,"[('IND', 'Orlando Johnson', 2012)]"
Tennessee Tech,"[('UTA', 'Kevin Murphy', 2012)]"
Norfolk State,"[('ORL', ""Kyle O'Quinn"", 2012)]"
Lehigh,"[('POR', 'CJ McCollum', 2013)]"
North Texas,"[('DET', 'Tony Mitchell', 2013)]"
South Dakota State,"[('MIL', 'Nate Wolters', 2013)]"
Bucknell,"[('ATL', 'Mike Muscala', 2013)]"
Wichita State,"[('NYK', 'Cleanthony Early', 2014), ('LAC', 'Landry Shamet', 2018)]"
UNLV,"[('MIL', 'Rashad Vaughn', 2015)]"
Georgia State,"[('BOS', 'RJ Hunter', 2015)]"
Wyoming,"[('LAL', 'Larry Nance Jr.', 2015), ('SAC', 'Justin James', 2019)]"
New Mexico State,"[('TOR', 'Pascal Siakam', 2016)]"
Miami,"[('PHX', 'Davon Reed', 2017), ('DET', 'Bruce Brown', 2018), ('SAS', 'Lonnie Walker IV', 2018), ('TOR', 'Dewan Hernandez', 2019)]"
"University of California, Berkeley","[('MEM', 'Ivan Rabb', 2017)]"
University of Colorado Boulder,"[('PHX', 'George King', 2018)]"
Missouri State,"[('IND', 'Alize Johnson', 2018)]"
Boise State,"[('CHI', 'Chandler Hutchison', 2018)]"
USC,"[('PHX', ""De'Anthony Melton"", 2018), ('SAS', 'Chimezie Metu', 2018)]"
University of Dayton,"[('DAL', 'Kostas Antetokounmpo', 2018)]"
Georgia Institute of Technology,"[('MIN', 'Josh Okogie', 2018)]"
University of Texas at Austin,"[('ORL', 'Mo Bamba', 2018)]"
Texas-Austin,"[('NOP', 'Jaxson Hayes', 2019), ('POR', 'Greg Brown III', 2021), ('CHA', 'Kai Jones', 2021), ('NYK', 'Jericho Sims', 2021)]"
Nebraska-Lincoln,"[('OKC', 'Isaiah Roby', 2019)]"
Virginia Tech ,"[('WAS', 'Justin Robinson', 2019)]"
Nevada-Reno,"[('CHA', 'Cody Martin', 2019)]"
Yale,"[('UTA', 'Miye Oni', 2019)]"
Virginia Tech,"[('NOP', 'Nickeil Alexander-Walker', 2019)]"
                                   ,"[('LAC', 'Jay Scrubb', 2020)]"
TCU,"[('MEM', 'Desmond Bane', 2020)]"
Utah State,"[('MIL', 'Sam Merrill', 2020), ('SAC', 'Neemias Queta', 2021)]"
Dayton,"[('NYK', 'Obi Toppin', 2020)]"
Loyola-Maryland,"[('MEM', 'Santi Aldama', 2021)]"
Wisconsin-Milwaukee,"[('GSW', 'Patrick Baldwin', 2022)]"
