Arkansas-Little Rock,"[('LAL', 'Derek Fisher', 1996)]"
Georgia,"[('UTA', 'Shandon Anderson', 1996), ('PHI', 'Jumaine Jones', 1999), ('WAS', 'Jarvis Hayes', 2003), ('LAC', 'Travis Leslie', 2011), ('LAC', 'Trey Thompkins', 2011), ('DET', 'Kentavious Caldwell-Pope', 2013), ('BKN', 'Nicolas Claxton', 2019), ('MIN', 'Anthony Edwards', 2020)]"
California,"[('VAN', 'Shareef Abdur-Rahim', 1996), ('ATL', 'Ed Gray', 1997), ('TOR', 'Sean Marks', 1998), ('MIL', 'Jamal Sampson', 2002), ('BOS', 'Leon Powe', 2006), ('NJN', 'Ryan Anderson', 2008), ('POR', 'Allen Crabbe', 2013), ('BOS', 'Jaylen Brown', 2016), ('BOS', 'Jabari Bird', 2017)]"
Louisville,"[('DAL', 'Samaki Walker', 1996), ('MIN', 'DeJuan Wheat', 1997), ('ORL', 'Reece Gaines', 2003), ('SAC', 'Francisco Garcia', 2005), ('NJN', 'Terrence Williams', 2009), ('PHX', 'Earl Clark', 2009), ('MIN', 'Gorgui Dieng', 2013), ('DET', 'Peyton Siva', 2013), ('MEM', 'Russ Smith', 2014), ('BOS', 'Terry Rozier', 2015), ('HOU', 'Montrezl Harrell', 2015), ('HOU', 'Chinanu Onuaku', 2016), ('UTA', 'Donovan Mitchell', 2017), ('PHX', 'Ray Spalding', 2018), ('MIL', 'Jordan Nwora', 2020), ('TOR', 'David Johnson', 2021)]"
Alabama,"[('VAN', 'Roy Rogers', 1996), ('DEN', 'Eric Washington', 1997), ('SAC', 'Gerald Wallace', 2001), ('UTA', 'Mo Williams', 2003), ('CHA', 'Jermareo Davidson', 2007), ('CLE', 'Collin Sexton', 2018), ('NOP', 'Kira Lewis Jr.', 2020), ('NOP', 'Herbert Jones', 2021), ('SAS', 'Joshua Primo', 2021), ('BOS', 'JD Davison', 2022)]"
Georgia Tech,"[('MIN', 'Stephon Marbury', 1996), ('ORL', 'Matt Harpring', 1998), ('ATL', 'Dion Glover', 1999), ('HOU', 'Jason Collier', 2000), ('PHI', 'Alvin Jones', 2001), ('TOR', 'Chris Bosh', 2003), ('POR', 'Jarrett Jack', 2005), ('MEM', 'Javaris Crittenton', 2007), ('PHI', 'Thaddeus Young', 2007), ('PHX', 'Gani Lawal', 2010), ('UTA', 'Derrick Favors', 2010), ('NYK', 'Iman Shumpert', 2011), ('WAS', 'Glen Rice', 2013)]"
Tennessee,"[('BOS', 'Steve Hamer', 1996), ('MIL', 'Marcus Haislip', 2002), ('DEN', 'Vincent Yarbrough', 2002), ('MIL', 'Tobias Harris', 2011), ('MEM', 'Jarnell Stokes', 2014), ('MIA', 'Josh Richardson', 2015), ('BOS', 'Grant Williams', 2019), ('DET', 'Jordan Bone', 2019), ('WAS', 'Admiral Schofield', 2019), ('PHI', 'Jaden Springer', 2021), ('POR', 'Keon Johnson', 2021), ('MEM', 'Kennedy Chandler', 2022)]"
Santa Clara,"[('PHX', 'Steve Nash', 1996), ('OKC', 'Jalen Williams', 2022)]"
Kentucky,"[('NYK', 'Walter McCarty', 1996), ('CHH', 'Tony Delk', 1996), ('BOS', 'Antoine Walker', 1996), ('BOS', 'Ron Mercer', 1997), ('CLE', 'Derek Anderson', 1997), ('PHI', 'Nazr Mohammed', 1998), ('UTA', 'Scott Padgett', 1999), ('CHH', 'Jamaal Magloire', 2000), ('DET', 'Tayshaun Prince', 2002), ('ORL', 'Keith Bogans', 2003), ('BOS', 'Rajon Rondo', 2006), ('NYK', 'Joe Crawford', 2008), ('PHI', 'Jodie Meeks', 2009), ('WAS', 'John Wall', 2010), ('LAC', 'Eric Bledsoe', 2010), ('SAC', 'DeMarcus Cousins', 2010), ('HOU', 'Patrick Patterson', 2010), ('NYK', 'Josh Harrellson', 2011), ('ORL', 'DeAndre Liggins', 2011), ('UTA', 'Enes Kanter', 2011), ('DET', 'Brandon Knight', 2011), ('HOU', 'Terrence Jones', 2012), ('ORL', 'Doron Lamb', 2012), ('NOH', 'Anthony Davis', 2012), ('NOH', 'Darius Miller', 2012), ('CHI', 'Marquis Teague', 2012), ('CHA', 'Michael Kidd-Gilchrist', 2012), ('PHX', 'Archie Goodwin', 2013), ('LAL', 'Julius Randle', 2014), ('BOS', 'James Young', 2014), ('PHX', 'Devin Booker', 2015), ('UTA', 'Trey Lyles', 2015), ('SAC', 'Willie Cauley-Stein', 2015), ('MIN', 'Karl-Anthony Towns', 2015), ('PHX', 'Tyler Ulis', 2016), ('SAC', 'Skal Labissiere', 2016), ('DEN', 'Jamal Murray', 2016), ('CHA', 'Malik Monk', 2017), ('SAC', ""De'Aaron Fox"", 2017), ('MIA', 'Bam Adebayo', 2017), ('OKC', 'Hamidou Diallo', 2018), ('DEN', 'Jarred Vanderbilt', 2018), ('LAC', 'Shai Gilgeous-Alexander', 2018), ('NYK', 'Kevin Knox II', 2018), ('SAS', 'Keldon Johnson', 2019), ('MIA', 'Tyler Herro', 2019), ('CHA', 'P.J. Washington', 2019), ('NYK', 'Immanuel Quickley', 2020), ('PHI', 'Tyrese Maxey', 2020), ('CHA', 'Nick Richards', 2020), ('IND', 'Isaiah Jackson', 2021), ('LAC', 'Brandon Boston', 2021), ('HOU', 'TyTy Washington Jr.', 2022), ('POR', 'Shaedon Sharpe', 2022)]"
Wright State,"[('CLE', 'Vitaly Potapenko', 1996)]"
